gp_code,gp_name,block_code,block_name,zp_code,zp_name
65964,Kishunpur Urf Bagahi,1751,Bansgaon,139,Gorakhpur
78380,Kishunpur Urf Suggichauri,1962,Dohri Ghat,159,Mau
90345,Kishunpurva,297516,Kon,175,Sonbhadra
271231,Kishunpur Vijaypur,1898,Nebua Naurangia,151,Kushi Nagar
86987,Kishurhai,2100,Dadrol,171,Shahjahanpur
71651,Kishwa Khera,1850,Derapur,147,Kanpur Dehat
59916,Kislauli,1651,Kasganj,577,Kasganj
57538,Kisola,1613,Syana,125,Bulandshahr
57132,Kisoli,1599,Agauta,125,Bulandshahr
80853,Kisoli,2004,Panwasa,259726,Sambhal
44554,Kisora,1417,Handia,111,Prayagraj
269774,Kisrada,1909,Mehroni,152,Lalitpur
